,accuracy_gmm_correlation_gauss,accuracy_gmm_correlation_v_gauss,accuracy_gmm_voltage_gauss,accuracy_gmm_voltage_v_gauss,accuracy_hierarchical_correlation_gauss,accuracy_hierarchical_correlation_v_gauss,accuracy_hierarchical_voltage_gauss,accuracy_hierarchical_voltage_v_gauss,accuracy_kmeans_correlation_gauss,accuracy_kmeans_correlation_v_gauss,accuracy_kmeans_voltage_gauss,accuracy_kmeans_voltage_v_gauss,accuracy_kmedoids_correlation_gauss,accuracy_kmedoids_correlation_v_gauss,accuracy_kmedoids_voltage_gauss,accuracy_kmedoids_voltage_v_gauss,accuracy_spectral_correlation_gauss,accuracy_spectral_correlation_v_gauss,accuracy_spectral_voltage_gauss,accuracy_spectral_voltage_v_gauss,accuracy_gmm_correlation_laplace,accuracy_gmm_correlation_v_laplace,accuracy_gmm_voltage_laplace,accuracy_gmm_voltage_v_laplace,accuracy_hierarchical_correlation_laplace,accuracy_hierarchical_correlation_v_laplace,accuracy_hierarchical_voltage_laplace,accuracy_hierarchical_voltage_v_laplace,accuracy_kmeans_correlation_laplace,accuracy_kmeans_correlation_v_laplace,accuracy_kmeans_voltage_laplace,accuracy_kmeans_voltage_v_laplace,accuracy_kmedoids_correlation_laplace,accuracy_kmedoids_correlation_v_laplace,accuracy_kmedoids_voltage_laplace,accuracy_kmedoids_voltage_v_laplace,accuracy_spectral_correlation_laplace,accuracy_spectral_correlation_v_laplace,accuracy_spectral_voltage_laplace,accuracy_spectral_voltage_v_laplace,random_state,window_start,random_state_labels
118,0.9456127628716461,0.9840464104423495,0.621464829586657,0.9840464104423495,0.8665699782451052,0.9543147208121827,0.7215373459028281,0.8600435097897027,0.9419869470630892,0.9840464104423495,0.9470630891950689,0.9818709209572154,0.4887599709934735,0.9267585206671501,0.5126903553299492,0.43364757070340826,0.9383611312545322,0.9876722262509064,0.939811457577955,0.9854967367657723,0.8179840464104423,0.9325598259608412,0.5097897026831038,0.9173313995649021,0.467005076142132,0.7926033357505439,0.47788252356780275,0.6896301667875272,0.8208846990572879,0.9253081943437274,0.8237853517041335,0.9173313995649021,0.41624365482233505,0.6976069615663524,0.37200870195794056,0.49746192893401014,0.8353879622915156,0.9456127628716461,0.836113125453227,0.9448875997099347,1893502850,11328,1173222463
119,0.9332849891225525,0.9738941261783901,0.9383611312545322,0.9796954314720813,0.8622189992748368,0.9499637418419145,0.6860043509789703,0.8665699782451052,0.9347353154459753,0.9724437998549673,0.943437273386512,0.9796954314720813,0.7541696881798404,0.9354604786076868,0.40971718636693255,0.5358955765047135,0.9477882523567803,0.9869470630891951,0.9448875997099347,0.9869470630891951,0.8158085569253082,0.9224075416968818,0.8339376359680928,0.911530094271211,0.6548223350253807,0.8303118201595359,0.4626540971718637,0.7266134880348079,0.8150833937635968,0.9224075416968818,0.807831762146483,0.911530094271211,0.4017403915881073,0.5221174764321972,0.38506163886874545,0.42857142857142855,0.8310369833212473,0.934010152284264,0.8266860043509789,0.9238578680203046,2076059924,11424,1173222463
120,0.939811457577955,0.9753444525018129,0.949238578680203,0.971718636693256,0.8817984046410442,0.9441624365482234,0.6736765772298767,0.8716461203770849,0.939811457577955,0.9746192893401016,0.9441624365482234,0.971718636693256,0.5286439448875997,0.9303843364757071,0.36185641769398114,0.5199419869470631,0.9427121102248006,0.9847715736040609,0.9412617839013778,0.9796954314720813,0.8266860043509789,0.9390862944162437,0.46410442349528647,0.6374184191443075,0.47788252356780275,0.8767222625090645,0.45902828136330676,0.7353154459753445,0.8397389412617839,0.9383611312545322,0.8259608411892676,0.6272661348803481,0.39593908629441626,0.7469180565627266,0.3560551124002901,0.5416968817984047,0.8397389412617839,0.9347353154459753,0.8397389412617839,0.920957215373459,650200082,11520,1173222463
121,0.9325598259608412,0.9847715736040609,0.5902828136330674,0.9818709209572154,0.8658448150833937,0.9702683103698332,0.7055837563451777,0.8324873096446701,0.9332849891225525,0.9876722262509064,0.9354604786076868,0.9825960841189267,0.7026831036983321,0.9448875997099347,0.4713560551124003,0.41479332849891226,0.9354604786076868,0.9883973894126178,0.9347353154459753,0.9869470630891951,0.8266860043509789,0.9412617839013778,0.5511240029006527,0.9093546047860769,0.47715736040609136,0.8411892675852066,0.4960116026105874,0.7353154459753445,0.8324873096446701,0.9405366207396664,0.8310369833212473,0.9064539521392313,0.4416243654822335,0.7621464829586657,0.3495286439448876,0.5395213923132705,0.8332124728063814,0.9390862944162437,0.8332124728063814,0.9303843364757071,1515093268,11616,1173222463
122,0.9354604786076868,0.9833212472806382,0.9456127628716461,0.9833212472806382,0.8614938361131255,0.9347353154459753,0.7461928934010152,0.8571428571428571,0.9347353154459753,0.981145757795504,0.9441624365482234,0.9833212472806382,0.5395213923132705,0.9557650471356055,0.4075416968817984,0.508339376359681,0.9427121102248006,0.9833212472806382,0.9419869470630892,0.9840464104423495,0.8397389412617839,0.9456127628716461,0.5939086294416244,0.6207396664249456,0.5257432922407542,0.7824510514865844,0.5351704133430022,0.5663524292965917,0.8411892675852066,0.9514140681653372,0.8295866569978245,0.6207396664249456,0.5438723712835388,0.6925308194343728,0.3770848440899202,0.4242204496011603,0.8353879622915156,0.9463379260333575,0.8339376359680928,0.943437273386512,1743023856,11712,1173222463
123,0.9383611312545322,0.9760696156635243,0.6301667875271936,0.9782451051486585,0.8846990572878898,0.9564902102973168,0.7628716461203771,0.8716461203770849,0.9405366207396664,0.9767947788252357,0.9427121102248006,0.9760696156635243,0.7621464829586657,0.9615663524292966,0.39158810732414795,0.41189267585206674,0.9448875997099347,0.9767947788252357,0.943437273386512,0.9804205946337926,0.8477157360406091,0.9499637418419145,0.5605511240029006,0.6388687454677302,0.5271936185641769,0.78535170413343,0.5721537345902828,0.7483683828861494,0.8578680203045685,0.9528643944887599,0.8484408992023206,0.6033357505438723,0.3560551124002901,0.5815808556925308,0.39231327048585934,0.4205946337926033,0.8556925308194344,0.9514140681653372,0.8556925308194344,0.9441624365482234,921227523,11808,1173222463
124,0.9521392313270486,0.981145757795504,0.6555474981870921,0.9847715736040609,0.860768672951414,0.9499637418419145,0.7541696881798404,0.8803480783176215,0.9521392313270486,0.9804205946337926,0.9506889050036258,0.9847715736040609,0.7686729514140682,0.9144307469180566,0.3828861493836113,0.3988397389412618,0.9477882523567803,0.9847715736040609,0.9463379260333575,0.9818709209572154,0.845540246555475,0.9514140681653372,0.5155910079767948,0.9412617839013778,0.4916606236403191,0.8868745467730239,0.47425670775924583,0.7128353879622915,0.8585931834662799,0.9543147208121827,0.8542422044960116,0.9412617839013778,0.4031907179115301,0.7737490935460478,0.38651196519216824,0.5119651921682379,0.8527918781725888,0.9572153734590283,0.8535170413343002,0.9535895576504714,136315057,11904,1173222463
125,0.6185641769398115,0.9419869470630892,0.5873821609862219,0.981145757795504,0.8992023205221175,0.5685279187817259,0.7766497461928934,0.8636693255982596,0.9289340101522843,0.6279912980420594,0.9463379260333575,0.981145757795504,0.7860768672951414,0.6200145032632343,0.4031907179115301,0.6976069615663524,0.9477882523567803,0.9767947788252357,0.9485134155184917,0.9796954314720813,0.5583756345177665,0.6192893401015228,0.5569253081943437,0.6707759245830311,0.6475707034082668,0.5670775924583031,0.4408992023205221,0.7693981145757796,0.7875271936185642,0.6142131979695431,0.8593183466279913,0.6707759245830311,0.448150833937636,0.5612762871646121,0.4031907179115301,0.4807831762146483,0.851341551849166,0.9463379260333575,0.8484408992023206,0.9470630891950689,261364908,12000,1173222463
126,0.920957215373459,0.9615663524292966,0.6424945612762871,0.9818709209572154,0.8905003625815808,0.9615663524292966,0.7650471356055112,0.8919506889050036,0.9282088469905729,0.962291515591008,0.9535895576504714,0.9818709209572154,0.7113850616388687,0.9282088469905729,0.4684554024655547,0.7077592458303118,0.949238578680203,0.9862218999274837,0.9470630891950689,0.9869470630891951,0.5054387237128354,0.728788977519942,0.4749818709209572,0.9296591733139956,0.6243654822335025,0.5540246555474981,0.45612762871646123,0.7331399564902102,0.7621464829586657,0.5917331399564902,0.8404641044234953,0.9296591733139956,0.41406816533720087,0.6258158085569253,0.34155184916606235,0.4677302393038434,0.8585931834662799,0.9289340101522843,0.8520667150108775,0.9303843364757071,1456529400,12096,1173222463
127,0.9137055837563451,0.6417693981145758,0.6432197244379986,0.9804205946337926,0.7781000725163162,0.7984046410442349,0.7556200145032632,0.8767222625090645,0.9173313995649021,0.8825235678027556,0.9376359680928209,0.9804205946337926,0.6990572878897752,0.9122552574329225,0.3770848440899202,0.5532994923857868,0.9470630891950689,0.9833212472806382,0.943437273386512,0.9804205946337926,0.7759245830311821,0.5866569978245105,0.8571428571428571,0.9282088469905729,0.6185641769398115,0.8346627991298042,0.5808556925308195,0.7505438723712835,0.807831762146483,0.817258883248731,0.8788977519941987,0.9282088469905729,0.41044234952864395,0.7338651196519217,0.40971718636693255,0.4017403915881073,0.8687454677302393,0.9550398839738942,0.8687454677302393,0.9514140681653372,324848477,12192,1173222463
